gene_id,species,tissue,sample_id,count
gene-PRDM9|PRDM9,Trachemys scripta,gonad,SRR22062179,2993
gene-PRDM9|PRDM9,Trachemys scripta,liver,SRR11306934,0
gene-PRDM9|PRDM9,Trachemys scripta,liver,SRR11306933,0
gene-PRDM9|PRDM9,Crotalus tigris,gonad,SRR11524053,14
gene-PRDM9|PRDM9,Crotalus tigris,liver,SRR11524076,5
gene-PRDM9|PRDM9,Erythrolamprus reginae,gonad,SRR30844227,11
gene-PRDM9|PRDM9,Erythrolamprus reginae,liver,SRR30844226,0
gene-PRDM9|PRDM9,Mauremys mutica,liver,SRR21159093,0
gene-PRDM9|PRDM9,Mauremys mutica,gonad,SRR21159098,2195
gene-PRDM9|PRDM9,Pantherophis guttatus,gonad,SRR9596698,7
gene-PRDM9|PRDM9,Pantherophis guttatus,gonad,SRR9596699,31
gene-PRDM9|PRDM9,Pantherophis guttatus,liver,SRR9596707,28
gene-PRDM9|PRDM9,Pantherophis guttatus,gonad,SRR9596713,1608
gene-PRDM9|PRDM9,Pantherophis guttatus,gonad,SRR9596714,13
gene-PRDM9|PRDM9,Pantherophis guttatus,liver,SRR9596715,329
gene-PRDM9|PRDM9,Hemicordylus capensis,liver,SRR22311013,0
gene-PRDM9|PRDM9,Hemicordylus capensis,gonad,SRR22311015,1046
gene-PRDM9|PRDM9,Hemicordylus capensis,liver,SRR22311018,7
gene-PRDM9|PRDM9,Pelodiscus sinensis,gonad,SRR15315613,4
gene-PRDM9|PRDM9,Pelodiscus sinensis,gonad,SRR15315614,0
gene-PRDM9|PRDM9,Pelodiscus sinensis,gonad,SRR15315615,6
gene-PRDM9|PRDM9,Pelodiscus sinensis,gonad,SRR15315619,9
gene-PRDM9|PRDM9,Pelodiscus sinensis,gonad,SRR15315620,4
gene-PRDM9|PRDM9,Pelodiscus sinensis,liver,SRR15829334,0
gene-PRDM9|PRDM9,Pelodiscus sinensis,liver,SRR15829335,0
gene-PRDM9|PRDM9,Pelodiscus sinensis,liver,SRR15829337,0
gene-PRDM9|PRDM9,Pelodiscus sinensis,liver,SRR15829338,0
gene-PRDM9|PRDM9,Sceloporus undulatus,gonad,SRR11050679,63
gene-PRDM9|PRDM9,Sceloporus undulatus,liver,SRR11647816,5
gene-PRDM9|PRDM9,Sceloporus undulatus,liver,SRR11647817,4
